Date,Open,High,Low,Close,Adj Close,Volume
1999-04-01,54.000000,57.281250,48.843750,53.718750,46.754818,256366400
1999-05-01,53.562500,56.000000,48.937500,52.031250,45.286076,259300000
1999-06-01,51.937500,59.937500,49.570313,57.625000,50.154675,247872200
1999-07-01,57.812500,61.718750,55.781250,56.593750,49.257107,195790400
1999-08-01,56.687500,61.750000,52.937500,59.687500,51.949791,257880600
1999-09-01,60.062500,63.750000,58.625000,60.187500,52.384975,289632000
1999-10-01,59.375000,66.250000,57.414063,65.750000,57.226368,415435200
1999-11-01,65.750000,78.781250,65.195313,73.500000,63.971668,366819200
1999-12-01,74.312500,93.750000,73.750000,91.375000,79.529411,465355600
2000-01-01,96.187500,97.625000,79.750000,89.687500,78.060677,583431800
2000-02-01,89.531250,107.500000,88.437500,106.750000,92.911232,575169800
2000-03-01,107.250000,120.500000,101.000000,109.500000,95.304756,721106900
2000-04-01,107.765625,109.125000,78.000000,94.750000,82.466896,678411400
2000-05-01,95.750000,96.875000,72.250000,83.125000,72.348938,563189300
2000-06-01,85.187500,99.718750,82.500000,93.437500,81.324539,469516700
2000-07-01,93.500000,102.062500,85.718750,89.437500,77.843102,381758100
2000-08-01,89.812500,102.000000,83.312500,101.625000,88.450638,378312400
2000-09-01,103.000000,103.515625,87.000000,88.750000,77.244728,510706700
2000-10-01,90.250000,90.250000,73.625000,81.703125,71.111343,904925400
2000-11-01,80.312500,84.125000,60.500000,62.984375,54.819271,936207600
2000-12-01,64.062500,74.781250,54.250000,58.375000,50.807430,1087788500
2001-01-01,58.562500,69.125000,52.156250,64.300003,55.964333,1197806700
2001-02-01,64.550003,65.610001,46.860001,47.450001,41.298759,1215871200
2001-03-01,46.970001,50.660000,38.000000,39.150002,34.074711,1724918800
2001-04-01,39.169998,49.439999,33.599998,46.150002,40.167267,1643682200
2001-05-01,46.200001,51.950001,43.349998,44.730000,38.931324,1394690300
2001-06-01,45.540001,49.490002,41.259998,45.700001,39.775578,1363050300
2001-07-01,45.650002,46.480000,39.310001,41.759998,36.346371,1198392500
2001-08-01,42.630001,44.000000,35.750000,36.630001,31.881397,1313411700
2001-09-01,36.509998,37.500000,27.200001,28.980000,25.223120,1302116200
2001-10-01,28.850000,37.060001,27.850000,33.900002,29.505314,2160146800
2001-11-01,34.439999,40.970001,33.779999,39.650002,34.509899,1721098400
2001-12-01,39.290001,43.240002,38.439999,38.910000,33.865829,1277765400
2002-01-01,39.570000,42.599998,36.849998,38.509998,33.517673,1579424600
2002-02-01,38.400002,38.880001,33.090000,33.779999,29.400873,1597517000
2002-03-01,34.150002,39.189999,34.090000,36.060001,31.385298,1551664300
2002-04-01,35.799999,36.900002,30.559999,31.730000,27.616617,1758315600
2002-05-01,31.670000,33.630001,28.420000,30.040001,26.145710,2095742700
2002-06-01,30.000000,30.250000,24.389999,26.100000,22.716469,2262935100
2002-07-01,25.969999,26.549999,21.639999,23.850000,20.758162,2668049100
2002-08-01,23.740000,26.209999,21.299999,23.490000,20.444828,2043810200
2002-09-01,23.059999,24.350000,20.490000,20.719999,18.033920,1669047400
2002-10-01,20.910000,25.040001,19.760000,24.549999,21.367411,2129150100
2002-11-01,24.370001,28.290001,24.139999,27.719999,24.126467,1669954700
2002-12-01,28.420000,28.790001,24.280001,24.370001,21.210751,1397055800
2003-01-01,24.719999,27.469999,24.010000,24.440001,21.271671,1513988000
2003-02-01,24.520000,25.370001,23.320000,25.160000,21.898335,1276622500
2003-03-01,25.270000,27.379999,23.540001,25.250000,21.976667,1670716200
2003-04-01,25.440001,28.059999,25.250000,27.450001,23.891468,1411620800
2003-05-01,27.440001,29.870001,27.190001,29.790001,25.928120,1525708300
2003-06-01,30.080000,31.469999,29.309999,29.950001,26.067371,1799755700
2003-07-01,29.700001,32.750000,29.260000,31.799999,27.677547,1821510200
2003-08-01,31.690001,33.459999,29.930000,33.389999,29.061426,1414186200
2003-09-01,33.490002,34.860001,32.360001,32.419998,28.217169,1904565100
2003-10-01,32.610001,36.000000,32.419998,35.180000,30.619368,1912564700
2003-11-01,35.430000,36.180000,33.730000,35.380001,30.793438,1497010400
2003-12-01,35.709999,36.639999,34.130001,36.459999,31.733429,1740828600
2004-01-01,36.660000,39.000000,36.220001,37.070000,32.276974,1759300400
2004-02-01,37.200001,37.970001,36.099998,36.570000,31.841610,1728110800
2004-03-01,36.680000,37.180000,34.009998,35.840000,31.206015,2509465300
2004-04-01,35.810001,37.500000,34.720001,34.770000,30.274349,2211173100
2004-05-01,35.000000,36.549999,34.110001,36.549999,31.824209,2429662200
2004-06-01,36.270000,37.900002,35.820000,37.740002,32.860329,1811072200
2004-07-01,37.660000,37.660000,33.700001,34.889999,30.378839,2262048100
2004-08-01,34.610001,35.020000,32.349998,34.020000,29.621328,2012635000
